"","score","text","review"
"40",1,"RT @DebashishHiTs: Dear @OfficeOfRG Jupiter's Escape Velocity defeated by speed of #CorruptCongiCrooks @PChidambaram_IN #CongressExposed #P…","positive"
"41",-3,"RT @geetv79: Have Any of These Big-Time Fraudsters 
Been Arrested Yet<U+2753>

Why Has Chowkidaar Failed to Arrest &amp; Prosecute FatCats Scamming Ba…","negative"
"42",-3,"RT @firstpost: The #NarendraModi government is killing democracy by orchestrating protests on various issues in the #Parliament to avoid di…","negative"
"43",1,"RT @report_real: It's now revealed that our FM Arun Jaitley's silence on the #PNBScam was to protect his lawyer daughter: Congress Presiden…","positive"
"44",-1,"RT @ETNOWlive: #ETNOWExplainer | Rs 12,600 cr #PNBScam has pushed @RBI to take firm action to avoid a repeat of the fiasco as it today bann…","negative"
"45",-3,"RT @firstpost: The #NarendraModi government is killing democracy by orchestrating protests on various issues in the #Parliament to avoid di…","negative"
"46",-1,"RT @ndtv: Nirav Modi got 1,213 fraudulent guarantees in six years: Arun Jaitley https://t.co/X2d99KzMFu

#NiravModi #PNBScam #PNBFraud http…","negative"
"47",-1,"RT @NewsX: P Chidambaram on bank fraud case: It’s all happening in one sector-jewelry; key players from Gujarat
#Chidambaram #Gujarat #Nira…","negative"
"48",0,"How can a bank trade positive despite of popping scams day in and out? 
#PNBScam @98 #ANDHRABANK  @39.5","neutral"
"49",-2,"RT @mshiteshmohan: #<U+0926><U+0926><U+094D><U+0926><U+093E><U+091C><U+0940><U+0915><U+0939><U+093F><U+0928> :
Is this not a notorious display of half truth to malign BJP? Law firm was retained 4 representing #proper…","negative"
"50",-3,"RT @firstpost: The #NarendraModi government is killing democracy by orchestrating protests on various issues in the #Parliament to avoid di…","negative"
"51",0,"#PNBScam amount rises to Rs 13,640 crore; additional exposure found in #Gitanjali group's Asmi Jewellery.… https://t.co/RqlGvqWob2","neutral"
"52",-1,"RT @NewsX: P Chidambaram on bank fraud case: It’s all happening in one sector-jewelry; key players from Gujarat
#Chidambaram #Gujarat #Nira…","negative"
"53",-3,"RT @firstpost: The #NarendraModi government is killing democracy by orchestrating protests on various issues in the #Parliament to avoid di…","negative"
"54",0,"RT @AITCofficial: #BudgetSession #RajyaSabha Sukhendu Sekhar Roy makes a Point of Order regarding #PNBScam | WATCH https://t.co/G3oHy1oduS","neutral"
"55",2,"Mr @ShankhNaad protect environment for better rain cycles!If @BJP4India brings back all black money from outside &amp;c… https://t.co/MlB19jl9qS","positive"
"56",0,"RT @SandipGhose: ""Vendetta nahin Mandate-ta"" - why @narendramodi now needs to go full steam against scamsters to discharge his mandate to t…","neutral"
"57",-1,"RT @iloveindiatoo: @OfficeOfRG ji, @INCIndia has planted the poisonous tree &amp; you are targeting those who have tried to sell the fruits of…","negative"
